2020-04-07 20:14:18.175 | WARNING  | __main__:__init__:16 - 警告
2020-04-07 20:14:18.176 | ERROR    | __main__:__init__:17 - エラー
2020-04-07 20:14:18.177 | CRITICAL | __main__:__init__:18 - クリティカル
2020-04-07 20:18:09.482 | WARNING  | __main__:__init__:24 - 警告
2020-04-07 20:18:09.483 | ERROR    | __main__:__init__:25 - エラー
2020-04-07 20:18:09.484 | CRITICAL | __main__:__init__:26 - クリティカル
2020-04-07 20:18:38.545 | WARNING  | __main__:__init__:24 - 警告
2020-04-07 20:18:38.545 | ERROR    | __main__:__init__:25 - エラー
2020-04-07 20:18:38.546 | CRITICAL | __main__:__init__:26 - クリティカル
2020-04-07 20:19:31.715 | WARNING  | __main__:__init__:24 - 警告
2020-04-07 20:19:31.716 | ERROR    | __main__:__init__:25 - エラー
2020-04-07 20:19:31.717 | CRITICAL | __main__:__init__:26 - クリティカル
2020-04-07 20:20:08.966 | WARNING  | __main__:__init__:24 - 警告
2020-04-07 20:20:08.967 | ERROR    | __main__:__init__:25 - エラー
2020-04-07 20:20:08.967 | CRITICAL | __main__:__init__:26 - クリティカル
2020-04-07 20:20:47.869 | WARNING  | __main__:__init__:24 - 警告
2020-04-07 20:20:47.869 | ERROR    | __main__:__init__:25 - エラー
2020-04-07 20:20:47.870 | CRITICAL | __main__:__init__:26 - クリティカル
2020-04-07 20:21:06.131 | WARNING  | __main__:__init__:24 - 警告
2020-04-07 20:21:06.132 | ERROR    | __main__:__init__:25 - エラー
2020-04-07 20:21:06.132 | CRITICAL | __main__:__init__:26 - クリティカル
2020-04-07 20:21:31.491 | WARNING  | __main__:__init__:24 - 警告
2020-04-07 20:21:31.492 | ERROR    | __main__:__init__:25 - エラー
2020-04-07 20:21:31.493 | CRITICAL | __main__:__init__:26 - クリティカル
2020-04-07 20:21:45.125 | WARNING  | __main__:__init__:24 - 警告
2020-04-07 20:21:45.126 | ERROR    | __main__:__init__:25 - エラー
2020-04-07 20:21:45.127 | CRITICAL | __main__:__init__:26 - クリティカル
2020-04-07 20:22:02.315 | WARNING  | __main__:__init__:24 - 警告
2020-04-07 20:22:02.316 | ERROR    | __main__:__init__:25 - エラー
2020-04-07 20:22:02.316 | CRITICAL | __main__:__init__:26 - クリティカル
